,Bavarian,German,GBERT_avg_prob,MBERT_avg_prob
0,joar,jahr,0.8683276864502466,0.9262431594684268
1,ort,ortes,0.9999420774764702,0.9999966821709616
2,zug,zuge,0.9998758865184472,0.999998470310305
3,obabayerischn,oberbayerischen,0.9998638762959412,1.0
4,schwäbischn,schwäbischen,0.9999693358431055,1.0
5,gemarkunga,gemarkungen,0.9999777167401416,0.9999999942931724
6,provinzhaptstod,provinzhauptstadt,0.9999700019488464,0.9999999935562546
7,uahzoagasinn,uhrzeigersinn,0.9877995529644926,0.999948975066064
8,ortschoft,ortschaft,0.998512190580368,0.9715294480323792
9,umgongssprochli,umgangssprachlich,0.9999806328096252,1.0
10,kennzeichn,kennzeichen,0.9892459634472344,1.0
11,niedabayerischn,niederbayerischen,0.9968023814938284,0.999999193531094
12,km,kilometer,0.99986493404095,0.999536592226762
13,italienischn,italienischen,0.9974338355518524,0.999300476104494
14,umfossd,umfasst,0.9938634577251616,0.9171136541972084
15,hechste,höchste,0.999909308552742,0.999948427081108
16,däiz,tölz,0.9993856728076936,1.0
17,gmoaedikt,gemeindeedikt,0.9999999886956707,1.0
18,is,erfolgte,0.942267163775184,0.9999786615371704
19,is,stieg,0.9824387916812192,0.9995150996579064
20,quadratkilometa,quadratkilometern,0.9761661352976312,0.999752603611856
21,historischn,historischen,0.9968103296481646,0.9975778529277216
22,provinzn,provinzen,0.9978913176059724,0.9996695327758788
23,grenzd,grenzt,0.9959011940245932,0.9712153952172462
24,fränkischn,fränkischen,0.9928338203741156,0.9999996423721312
25,vawoitungsreforma,verwaltungsreformen,0.9913756767908732,1.0
26,seitm,seit,1.0,1.0
27,nordwestli,nordwestlich,0.9195518215948884,0.939519616690549
28,ortschoftn,ortschaften,0.9652401892976328,0.964476378126578
29,gmoafreies,gemeindefreies,0.9999996477907356,0.9997742176055908
30,entspringd,entspringt,0.999892649196443,0.9690295344307308
31,bezirksomt,bezirksamt,0.9999943528419886,0.9999971664868867
32,feba,februar,0.9866885393857956,0.9994816356583646
33,aprü,april,0.9998380461254636,0.9966732585752331
34,betrogt,beträgt,0.8375908128313116,0.989339978308291
35,septemba,september,0.987211772137218,0.856687092118793
36,gmoagebietsreform,gemeindegebietsreform,0.9927527639600966,1.0
37,vawoitungsgebiet,verwaltungsgebiet,0.998804235458374,1.0
38,koordinatn,koordinaten,0.9809557182448252,1.0
39,metropolitanstod,metropolitanstadt,0.999631925540812,0.9999711373273064
40,bezeichnt,bezeichnet,0.9995135489632102,0.9067742929739112
41,bewoidt,bewaldet,0.999954042956233,0.999999951571226
42,fluss,flusses,0.9998879240405176,0.9999998615634056
43,prozentualn,prozentualen,1.0,1.0
44,aostatoi,aostatal,1.0,1.0
45,generoirod,generalrat,0.9603089299695244,0.9996549877627142
46,autonoma,autonomen,0.9999780591045108,0.9979410469532012
47,ortsrond,ortsrand,1.0,1.0
48,geografischn,geographischen,0.9299501246876188,0.999999781449636
49,eihzugsgebiet,einzugsgebiet,0.9909686931857355,1.0
50,haushoite,haushalte,0.9919142678931908,0.999999984546944
51,aufglestn,aufgelösten,0.995563445267854,0.9941828780704074
52,zuawochs,zuwachs,0.8749101253656241,1.0
53,neioadnung,neuordnung,0.986331128157102,0.9998142512945029
54,duachfliaßt,durchfließt,0.994663553237915,0.999985842704773
55,bezeichnd,bezeichnet,0.9976729774475096,0.9380973720550536
56,rengschburg,regensburg,0.7636575293540955,0.9507623064517976
57,kanadischn,kanadischen,0.9925165824268176,0.9999603033065796
58,auflesung,auflösung,0.8464063587396041,0.835552225942197
59,orte,orten,0.9999978127686874,0.9999838704648224
60,norwegischn,norwegischen,0.9999999974084935,0.9999999948169874
61,privathaushoite,privathaushalte,1.0,1.0
62,kiachdoaf,kirchdorf,0.908408839594234,1.0
63,nomansgemdn,namensgebenden,0.8974170982837677,0.9999845867807214
64,main,mains,0.9892372407696464,0.9999981305815956
65,eihgmoanung,eingemeindung,0.9984887621619484,0.99995694919066
66,afläsung,auflösung,0.9804614701054312,0.975029784170064
67,prozentuoin,prozentualen,1.0,1.0
68,gibts,gibt,0.999998946984609,0.9999997842879522
69,ortsnoma,ortsname,0.9619976736250376,1.0
70,milliona,millionen,0.9055640186582292,0.9899699205443973
71,spessart,spessarts,1.0,1.0
72,zuafliaßt,zufließt,0.9995329946279524,0.9999999880790712
73,landesweidn,landesweiten,0.9999998688697816,1.0
74,hessn,hessen,0.966463702917099,0.963407325744629
75,is,fiel,0.9859634324123984,0.9999689302946392
76,leit,leitet,0.9982658059973466,0.9950191755043832
77,findt,findet,0.9921337899408842,0.9516267776489258
78,befindn,befinden,0.9998756521626524,0.8970423936843872
79,oidhochdeitschn,althochdeutschen,0.9993173480033876,0.9666806773135536
80,kroasfreien,kreisfreien,0.9988399346669516,1.0
81,is,ging,0.9742593235439724,0.9980935984187655
82,midglied,mitglied,0.9768584304385716,0.8322406940990024
83,geboan,geboren,0.999960482120514,0.999753819571601
84,ort,dorf,0.9998932911290064,0.9999922017256418
85,dt,deutsch,0.9950303203529782,0.9604025582472484
86,amtli,amtlich,0.9999994503127204,1.0
87,oidkroas,altkreis,0.995468944311142,0.999728586938646
88,entsprichd,entspricht,0.99999942148433,0.8663697558290818
89,landkroas,kreis,0.9998772424810072,0.9999827111468595
90,ostallgai,ostallgäu,0.9999991234611062,1.0
91,persona,personen,0.9635111584382898,0.9998670080128838
92,lateinischn,lateinischen,0.9996304959058762,0.999997790902853
93,entsprochn,entsprach,0.981761623173952,1.0
94,kernort,kernortes,1.0,1.0
95,kirchdoaf,kirchdorf,0.9999999962747096,1.0
96,muihdorf,mühldorf,0.9999999888241292,1.0
97,gmoafreien,gemeindefreien,0.9998888820409776,0.997589897364378
98,luxnbuagischn,luxemburgischen,0.9956466630101204,0.9799313992261888
99,zuaschnitt,zuschnitt,1.0,1.0
100,is,liegt,0.9389112810293834,0.9979910016059876
101,indien,indischen,0.9999955097834268,0.9999746680259703
102,hessischn,hessischen,0.9972415486971538,1.0
103,auslaifa,ausläufern,0.9999999602635702,1.0
104,untaallgai,unterallgäu,0.985637243304934,0.9998133267675128
105,ehemoiige,ehemalige,0.9368914812803268,0.9840043910912104
106,haptort,hauptortes,0.9349556948457446,0.9993243941238948
107,land,landes,0.999937389578138,0.9995521008968352
108,see,sees,0.9999998126711164,1.0
109,oban,oberen,0.9247427399341877,0.9362619519233704
110,gebietstei,gebietsteile,0.9997633237105148,1.0
111,östlichn,östlichen,0.9543554691167978,0.9999997524114757
112,schreibweis,schreibweise,0.9987628826728234,1.0
113,topografisch,topographisch,1.0,1.0
114,reichsstod,reichsstadt,1.0,1.0
115,nordwestn,nordwesten,0.9843878058286814,0.988538104754228
116,untapräfektua,unterpräfektur,1.0,1.0
117,grenzn,grenzen,0.9975148340066274,0.9749612460533778
118,stichdog,stichtag,1.0,1.0
119,baut,gebaut,0.9999554753303528,0.9371397693951924
120,obschoffung,abschaffung,0.6610516458749771,1.0
121,flächnmäßig,flächenmäßig,0.9532881875832876,1.0
122,gmoafreie,gemeindefreie,0.8256998459498087,0.999999890724818
123,ostsidestli,ostsüdöstlich,0.9546703100204468,1.0
124,nochbargemarkunga,nachbargemarkungen,0.9999831517537436,1.0
125,wurdn,wurden,0.9999808669090272,0.962813581029574
126,seit'm,seit,0.9999934236208596,0.9999996423721312
127,zwiesl,zwiesel,0.9999999837441876,1.0
128,rebn,reben,0.999999994581396,1.0
129,existiad,existierte,0.9999324354258452,0.999999371441928
130,bsitzt,besitzt,0.8709964210336859,0.9992956464940852
131,betriem,betrieben,0.97114004872062,0.9744561206210745
132,kahlgründa,kahlgründer,1.0,1.0
133,sidwestliche,südwestliche,0.9999711621891368,0.9999999674883756
134,kyrillischn,kyrillischen,0.9997148513793944,0.9999953508377076
135,baudenkmoi,baudenkmal,0.9999995556744662,0.9999987483024596
136,befindd,befindet,0.9990062605250966,0.9879683418707416
137,periodischa,periodischer,1.0,1.0
138,gibd,gibt,0.9999994364651766,0.8920164812694896
139,westsidwestli,westsüdwestlich,0.996069610118866,0.9999926903031088
140,floch,flach,0.9358213137496602,1.0
141,hod,trug,0.6886534189636057,0.9822343371131204
142,ofangend,beginnend,0.999647481874986,0.9659297953952444
143,ostafest,osterfest,0.8725748766552318,1.0
144,departements,départements,0.9726321697235109,0.99999755079096
145,datein,dateien,0.9998771765015342,1.0
146,siedlunga,siedlungen,0.9740147265520964,0.999788533557545
147,tirschenreith,tirschenreuth,1.0,1.0
148,bistum,bistums,0.999971411444924,0.9999979788606818
149,sejbstständign,selbständigen,0.9927822947502136,0.9999996315349232
150,woidgebiet,waldgebiet,0.9999999701976776,0.9999977350234984
151,kernstod,kernstadt,1.0,1.0
152,italien,italiens,0.9988159477710724,1.0
153,kloana,kleiner,0.6684558495879174,0.8481443881988525
