Alemannic,German,Is translation acceptable?
nume,alleine,no
obwohl,stets,yes
märz,august,no
yywohner,gesamtbevölkerung,yes
burgerbewegige,bündnis,no
einzig,kleinen,no
hend,kam,no
vu,deutscher,no
august,dezember,no
amtlech,ortsdialekt,no
ruine,ehemaligen,no
owerelsàss,elsässischen,idk
turnier,finale,no
no,folge,no
site,seitens,yes
fründin,jugendfreundin,no
ölloks,ölfeuerung,no
bezirk,gemeinden,yes
z,landeshauptstadt,no
ghöört,heute,no
brueder,jüngerer,no
gee,genommen,no
nazi,nationalsozialismus,no
erschte,neuerer,no
nobelbriis,nobelpreisträger,no
vorusgange,nachhaltig,no
denn,vielleicht,no
atlantik,ozean,no
dütsche,raum,no
land,königreich,yes
komponiert,schrieb,no
augschburg,schwäbischen,no
bündnerland,schweizerischen,no
schwizer,schweizerischer,no
zwete,siebten,no
ort,siedlung,yes
häi,sprachen,no
norde,südlichen,no
uni,universitätsbibliothek,no
skiabteilig,skiabteilung,yes
ägypte,ägyptische,yes
aige,eigenes,yes
ängländer,englischen,no
änglische,britischen,yes
bärg,berges,yes
buech,bestseller,no
chliine,kleine,yes
chrankehüüser,krankenhäusern,yes
satz,energieerhaltungssatz,yes
änte,ente,yes
name,familienname,yes
färöer,färöern,yes
fünftr,fünfter,yes
flöße,flößen,yes
frankriich,nordfrankreich,yes
frohi,frohe,yes
freiem,freies,yes
freiheite,freiheiten,yes
freising,freisings,yes
frikativá,frikativen,yes
frikativi,frikative,yes
fruchtbari,fruchtbaren,yes
fundamentali,fundamentalen,yes
funktionierende,funktionierenden,yes
europameischterschaft,fußball,no
gege,ging,yes
galaxi,galaxie,yes
gebirgigi,gebirgige,yes
gebirg,gebirgsketten,yes
gmües,gemüse,yes
tialäktgramatik,grammatik,yes
gschicht,philosophiegeschichte,yes
gschicht,kirchengeschichte,yes
hütige,heutigen,yes
s'huus,haus,yes
insle,hauptinsel,yes
alljohr,alljährlich,yes
kaisere,kaisern,yes
mittellatynisch,mittellateinisch,yes
langi,jahrelang,yes
latynische,lateinischen,yes
mittlers,mittleres,yes
mongolei,mongolen,no
nejs,neues,yes
nobelprys,nobelpreis,yes
nünte,neunte,yes
oobeländische,abendländischen,yes
barlemäntarischi,parlamentarische,yes
romanischa,romanischer,yes
religiööse,religiöses,yes
käiserriich,kaiserreichs,yes
schwed,schwede,yes
schwiizerischem,schweizerischem,yes
spanie,spanische,yes
sprooch,regionalsprache,yes
starchi,starke,yes
tier,lebewesens,yes
tod,todesurteil,yes
turm,turmes,yes
verfassig,verfassung,yes
vogel,meise,eys
weiler,erkenbrechtsweiler,yes
wochè,wochen,yes
zsämme,gemeinsam,yes
flugzieli,flugziele,yes
mahlbärg,mahlberg,yes
zuemgacht,schliessung,yes
steihauerej,steinhauerei,yes
stäiboogebrugg,steinbogenbrücke,yes
harthuusè,harthausen,yes
oxidyrt,oxidiert,yes
munätsmitti,machbarkeitsstudie,no
landkäuf,landkäufe,yes
ortsnameliste,linearschrift,ortsnameliste
edelstäiarte,edelsteinarten,yes
verwaltigs,selbstverwaltungseinheiten,no
bleichtè,bleichten,yes
offiziersgsöuschaft,ersparniskasse,no
westnordweschtlich,westnordwestlich,yes
onderhaldongseilage,show,yes
chlinike,kliniken,yes
d'nationalsozialischde,machtübernahme,no
nabelsei,nabelschweine,idk
bevelkerigsmeehait,mehrheitsbevölkerung,yes
frankekönigs,frankenkönigs,yes
integrationsausschuss,amp,no
friedensbemüehige,friedensbemühungen,yes
früehform,frühform,yes
entdeggige,entdeckungen,yes
futurist,futuristen,yes
sopraan,sopran,yes
gagause,gagausen,yes
ganerbeburg,ganerbenburg,yes
flussebene,flussebenen,yes
stämmige,südafrikanischen,no
gartekultur,gartenkultur,yes
flexionsforme,flexionsformen,yes
gaschtprofessur,gastprofessur,yes
skandinavischtik,skandinavistik,yes
s'diagramm,diagramm,yes
gedänkfyyr,gedenkfeier,yes
tschääs,trommeln,no
s'cassini,cassini,yes
s'baryzentrum,baryzentrum,yes
tschuktschukesee,tschuktschensee,yes
güss,güsse,yes
iberdurschnittli,überdurchschnittlich,yes
iberdragige,übertragungen,yes
