Bavarian,German,freq,nchar,edit_distance,Is translation acceptable?,Comment
bezeichn't,bezeichnet,2,10,1,yes,
strapaziat,strapazierten,2,13,4,yes,
systematischn,systematischen,2,14,1,yes,
bewoidts,bewaldetes,2,10,4,yes,
grässdn,größten,2,7,4,yes,
biagamoasta,bürgermeister,2,13,8,yes,
bezeichnatn,bezeichneten,2,12,2,yes,
gründt,gegründet,2,9,3,yes,
biagt,biegt,2,5,1,yes,
strauwing,straubing,2,9,1,yes,
vafossungsendarung,verfassungsänderung,2,19,5,yes,
bezeichnd'n,bezeichnet,2,10,3,yes,
streckn,strecken,2,8,1,yes,
vafuigd,verfügt,2,7,5,yes,
fläch,größe,2,5,5,yes,
vafosst,verfasst,2,8,3,yes,
stootsterritorium,staatsterritoriums,2,18,3,yes,
bewoidda,bewaldeter,2,10,6,yes,
bewoidte,bewaldete,2,9,3,yes,
bewoidtn,bewaldeten,2,10,4,yes,
gsprochn,gesprochen,2,10,2,yes,
vafassungsrecht,verfassungsrecht,2,16,2,yes,
gschenkd,schenkte,2,8,3,yes,
grundstick,grundstück,2,10,1,yes,
gschenkt,schenkte,2,8,2,yes,
guada,guter,2,5,3,yes,
vabund,verbund,2,7,2,yes,
fuitaregeln,filterregeln,2,12,4,yes,
gsäte,gesäte,2,6,1,yes,
gsundheitsdistrikt,gesundheitsdistrikt,2,19,1,yes,
gstorm,gestorben,2,9,4,idk,
suhn,sohn,2,4,1,yes,
gstodlinie,küstenlinie,2,11,4,idk,
vabroadd,verbreitet,2,10,7,yes,
bheabeagd,beherbergt,2,10,4,yes,
vabringt,verbringt,2,9,2,yes,
guidd,gilt,2,4,3,yes,
guamblin,guamblín,2,8,1,yes,
sägmui,sägemühle,2,9,5,yes,
biat,bietet,2,6,3,yes,
säähäh,seehöhe,2,7,4,yes,
großstädt,großstädten,2,11,2,yes,
is,verschwand,2,10,9,no,
gruppm,gruppe,2,6,1,yes,
gruppn,band,2,4,6,yes,
vabindt'n,verbindet,2,9,5,yes,
vabessarunga,verbesserungen,2,14,5,yes,
bewoidung,bewaldung,2,9,2,yes,
vaendad,verändert,2,9,6,yes,
beziehunga,beziehungen,2,11,2,yes,
beziaksmuseum,bezirksmuseum,2,13,1,yes,
stroßnboh,straßenbahn,2,11,4,yes,
großgmoana,großgemeinden,2,13,6,yes,
tennisolong,tennisanlagen,2,13,6,yes,
gouvernement,gouvernements,2,13,1,yes,
gonze,ganze,2,5,1,yes,
teigmoa,teilgemeinde,2,12,7,yes,
teit,teilt,2,5,1,yes,
grafanau,grafenau,2,8,1,yes,
frankoprovenzalischn,frankoprovenzalischen,2,21,1,yes,
beziake,verwaltungsbezirke,2,18,12,yes,partial match
bio,bío,2,3,1,yes,
theatamanuskript,theatermanuskript,2,17,2,yes,
gnennt,benannt,2,7,3,yes,
gneigd,geneigt,2,7,2,yes,
theräsienthoi,theresienthal,2,13,3,yes,
gmoatei,gemeindeteile,2,13,8,yes,
gmoastroß,gemeindestraße,2,14,8,yes,
gschlossna,geschlossenen,2,13,4,yes,
gmoasom,gemeinsam,2,9,5,yes,
franzosenkopf,franzosenkopfes,2,15,2,yes,
untn,unten,2,5,1,yes,
biogasonlog,biogasanlage,2,12,3,yes,
beziak,parish,2,6,5,idk,
foam,form,2,4,1,yes,
strietboch,strietbach,2,10,1,yes,
gwondlt,wandelte,2,8,4,yes,
vaeinign,vereinigen,2,10,3,yes,
vaeinigd,vereinigt,2,9,3,yes,
gwohnd,wohnten,2,7,4,yes,
gwinnung,gewinnung,2,9,1,yes,
gweihte,geweihte,2,8,1,yes,
vaeffentlichte,veröffentlichte,2,15,3,yes,
foatsetzung,fortsetzung,2,11,1,yes,
vaeffentlicht,veröffentlicht,2,14,3,yes,
fochgebiet,fachgebiet,2,10,1,yes,
städtpartnaschoftn,städtepartnerschaften,2,21,5,yes,
stäit,stellt,2,6,3,yes,
guldn,gulden,2,6,1,yes,
ständign,ständigen,2,9,1,yes,
guitign,gültigen,2,8,3,yes,
foigd,folgt,2,5,2,yes,
stärungszonan,störungszone,2,12,3,yes,
gwähnli,gewöhnlich,2,10,4,yes,
haaßt,lautet,2,6,4,no,
stroßnnetz,straßennetz,2,11,2,yes,
beziagt,bezieht,2,7,2,yes,
vafassungsoagan,verfassungsorgan,2,16,3,yes,
strickn,stricken,2,8,1,yes,
vafigt,verfügt,2,7,3,yes,
houchhaus,hochhaus,2,8,1,yes,
deitschland,deutschland,43,11,1,yes,
liegts,liegt,4,5,1,yes,
mendlingposs,mendlingpass,2,12,1,yes,
zentrum,zentrums,9,8,1,yes,
unobhängigkeit,unabhängigkeit,5,14,1,yes,
easetzt,ersetzt,9,7,1,yes,
landesweitn,landesweiten,8,12,1,yes,
onsiedlung,ansiedlung,5,10,1,yes,
signatua,signatur,2,8,1,yes,
liturgischn,liturgischen,2,12,1,yes,
bestn,besten,4,6,1,yes,
entspringtm,entspringt,3,10,1,yes,
flua,flur,4,4,1,yes,
treffn,treffen,4,7,1,yes,
eawähnung,erwähnung,31,9,1,yes,
nochdem,nachdem,5,7,1,yes,
himalaya,himalayas,2,9,1,yes,
streck,strecke,3,7,1,yes,
meistn,meisten,10,7,1,yes,
entwässan,entwässern,2,10,2,yes,
grouße,großes,2,6,2,yes,
via,vier,45,4,2,yes,
broate,breite,2,6,2,yes,
boh,bahn,5,4,2,yes,
zuafliaßt,zufließt,20,8,2,yes,
persona,personen,17,8,2,yes,
greßare,größere,10,7,2,yes,
glei,gleich,2,6,2,yes,
hauptstod,hauptstadt,6,10,2,yes,
untascheidung,unterscheidung,2,14,2,yes,
vawendet,verwendet,5,9,2,yes,
afweisd,aufweist,2,8,2,yes,
eihheitn,einheiten,3,9,2,yes,
landshuad,landshut,9,8,2,yes,
urkundli,urkundlich,35,10,2,yes,
landstroß,landstraße,4,10,2,yes,
zwoa,zwei,128,4,2,yes,
dezemba,dezember,121,8,2,yes,
hafenlohrtoi,hafenlohrtal,4,12,2,yes,
oide,alte,18,4,3,yes,
fruchtboan,fruchtbaren,2,11,3,yes,
siem,sieben,23,6,3,yes,
roadorf,raindorf,2,8,3,yes,
eascht,erst,26,4,3,yes,
kinereich,königreich,7,10,3,yes,
westsidwestli,westsüdwestlich,11,15,3,yes,
broad,breit,16,5,3,yes,
zuagwiesn,zugewiesen,2,10,3,yes,
weitara,weiterer,6,8,3,yes,
fiat,führt,2,5,3,yes,
sidwestlichsdn,südwestlichsten,2,15,3,yes,
hod,hieß,28,4,3,yes,
begrinda,begründer,2,9,3,yes,
nech,nahe,2,4,3,yes,
quadratkilometa,quadratkilometern,53,17,3,yes,
voabuid,vorbild,2,7,3,yes,
schliaßli,schließlich,2,11,3,yes,
joar,jahre,115,5,3,yes,
denkmoig'schützte,denkmalgeschützte,2,17,3,yes,
buit,bietet,2,6,4,yes,
fiahn,führen,16,6,4,yes,
prägta,geprägter,3,9,4,yes,
regionoiflughofn,regionalflughafen,3,17,4,yes,
ogsiedlt,angesiedelt,4,11,4,yes,
zuageoadnd,zugeordnet,3,10,4,yes,
obgstuafd,abgestuft,3,9,4,yes,
afteit,aufgeteilt,3,10,4,yes,
innahoib,innerhalb,38,9,4,yes,
ohänga,anhänger,2,8,4,yes,
sidestli,südöstlich,84,10,4,yes,
weatan,wörtern,6,7,4,yes,
eihteit,eingeteilt,2,10,4,yes,
ostgstod,ostküste,5,8,4,yes,
weidan,weiteren,6,8,4,yes,
quejfliss,quellflüsse,2,11,4,yes,
greßan,größeren,4,8,4,yes,
bevejkarungswochstum,bevölkerungswachstum,2,20,4,yes,
hofnstod,hafenstadt,3,10,4,yes,
aufgonga,aufgegangen,2,11,5,yes,
bsong,besagen,2,7,5,yes,
schwäbischn,schwaben,12,8,5,yes,
eihgstejd,eingestellt,2,11,5,yes,
und,sowie,20,5,5,no,
weata,wörtern,15,7,5,idk,
zuaghearign,zugehörigen,3,11,5,yes,
hod's,gab,3,3,5,no,
aißastn,äußersten,5,9,5,yes,
eahoidn,erhalten,2,8,5,yes,
nochboaregiona,nachbarregionen,2,15,5,yes,
hoslbo,haselbach,5,9,5,no,
grindde,gegründete,2,10,5,yes,
boarische,deutsche,4,8,5,no,
is,bildet,4,6,5,no,
vawoitungsrefoam,verwaltungsreform,4,17,5,yes,
vagreßat,vergrößert,2,10,5,yes,
zoinsysdem,zahlensystem,2,12,5,yes,
worn,erhoben,4,7,5,no,
pfahofa,pfaffenhofen,8,12,6,yes,
bauanfiahra,bauernführer,2,12,6,yes,
