Swiss German,German,Meaning,Factual similarity,Grammar differs?,Reasons?
1716 het de Prinz Eugen vu Savoyen d Feschtunge Temeschburg un Belgrad vu de Tirke erobret.,Im Jahr 1514 wurde das „Schloss Zadorlak“ von den Aufständischen Dózsas geplündert und alle Lehensurkunden vernichtet.,1,n/a,FALSE,
2002 isch nach em Jean-Jacques Schilt dr Daniel Brélaz vo de Grüene Stadtpresidänt woorde.,"Seit 1811 hat die Kantonsregierung, der Staatsrat der Waadt, ihren Sitz im ""Château Saint-Maire"".",1,n/a,FALSE,
"2006 sìn ene ǜber 120 Gebättsstätte zùr Verfiegig gstande, wùù ìm Allgemeine islamischi Kulturzändre gsìì sìn.",Der Rekurs des türkischen Vereins wurde vom kantonalen Bau- und Justizdepartement am 13. Juli 2006 gutgeheissen.,1,n/a,FALSE,
"43,6 % vu dr Yywohner sin anne 2000 reformiert gsi, 21,9 % remisch-katholisch.",97 % der Gemeindefläche sind landwirtschaftliche Zonen sowie Wald.,1,n/a,FALSE,
"88,5 % vo dr Eiwohner send em Johr 1987 remisch-katholisch gweä, 6,8 % evangelisch.",Im April 1986 wurden Ladegleis und Signalanlagen abgerissen und das Empfangsgebäude verkauft.,1,n/a,FALSE,
Als kulturelli ond wertschaftlechi Zentre entschtönd Chlöschter ond Schteft.,Der Hauptort und zugleich bevölkerungsreichste Ort ist die gleichnamige Stadt Luzern.,1,n/a,FALSE,
"Als Symbol vu de Landwirtschaft were di regionale Rinderrasse ""Hinterwälder"" un ""Vorderwälder"" aaglüegt.",Von jeher waren im Schwarzwald Bauerngärten wichtiger Bestandteil bäuerlicher Traditionen.,1,n/a,FALSE,
"Anderi wichtigi Schtädt sind Brünn, Ostrau, Pilse und Olmütz.","Rinder, vorrangig Fleckvieh, Schweine und Hühner machen den größten Teil der Viehzucht aus.",1,n/a,FALSE,
Anderschume chame s'Holländische und Flämische au zum Nidertüütsche zele.,Aus Deutsch und Niedersorbisch entstand das sogenannte Ponaschemu.,1,n/a,FALSE,
Arabischi un remischi Händler sin regelmäßig do aane chuu.,Regelmäßig prostituierten sich dort 2000 bis 3000 Jungen und Mädchen.,1,n/a,FALSE,
